Conceito (linha \ coluna),Variáveis,Tipos de Dados,Estruturas de Controle,Laços de Repetição,Funções,Módulos,Tratamento de Erros,Manipulação de Arquivos,Estruturas de Dados,Listas,Tuplas,Dicionários,Programação Orientada a Objetos,Bibliotecas e Frameworks,Desenvolvimento de Aplicações
Variáveis,40,2,5,3,0,1,0,0,0,1,0,5,0,0,0
Tipos de Dados,0,51,7,0,7,0,2,1,0,6,0,0,0,0,0
Estruturas de Controle,0,6,33,11,2,1,0,0,0,2,0,0,0,0,0
Laços de Repetição,2,8,9,36,2,1,0,0,0,6,0,11,0,0,2
Funções,0,1,4,0,31,3,0,0,0,12,0,0,0,8,0
Módulos,0,2,6,1,28,54,0,13,0,4,0,0,0,0,0
Tratamento de Erros,0,6,3,3,6,0,46,0,0,0,0,0,0,0,1
Manipulação de Arquivos,0,2,1,9,6,8,2,27,2,10,0,1,0,3,2
Estruturas de Dados,0,2,3,3,0,5,0,2,26,15,0,7,1,2,3
Listas,0,5,2,13,2,0,0,0,0,49,0,1,5,0,1
Tuplas,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Dicionários,0,4,2,8,3,0,2,0,2,12,0,73,1,0,1
Programação Orientada a Objetos,0,3,5,4,0,0,0,0,0,1,0,0,62,0,1
Bibliotecas e Frameworks,0,3,3,4,3,12,0,1,0,0,0,0,2,27,3
Desenvolvimento de Aplicações,8,5,1,3,6,2,0,0,6,16,0,3,0,2,1
