id,verbo_bloom,conceito
worked_example_variaveis_e_tipos_de_dados_1,Calcular,Variáveis e Tipos de Dados
worked_example_variaveis_e_tipos_de_dados_2,Desconstruir,Variáveis e Tipos de Dados
worked_example_variaveis_e_tipos_de_dados_3,Selecionar,Variáveis e Tipos de Dados
worked_example_estruturas_de_controle_de_fluxo_1,Determinar causas e consequências.,Estruturas de Controle de Fluxo
worked_example_estruturas_de_controle_de_fluxo_2,Contrastar,Estruturas de Controle de Fluxo
worked_example_funcoes_3,Julgar,Funções
worked_example_estruturas_de_dados_listas_tuplas_dicionarios_1,Apresentar conclusão sobre algo,"Estruturas de Dados (Listas, Tuplas, Dicionários)"
worked_example_estruturas_de_dados_listas_tuplas_dicionarios_2,Dar a ideia principal,"Estruturas de Dados (Listas, Tuplas, Dicionários)"
worked_example_estruturas_de_dados_listas_tuplas_dicionarios_3,Escolher,"Estruturas de Dados (Listas, Tuplas, Dicionários)"
worked_example_modulos_e_pacotes_1,Ordenar,Módulos e Pacotes
worked_example_modulos_e_pacotes_2,Mapear,Módulos e Pacotes
